This list contains all games supported by FinalBurn Neo.

12109 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| spec_aburner	|  	| Afterburner (48K)					| 		| 1988	| Activision	| ZX Spectrum	| 					|
| msx_afteroids	|  	| Afteroids						| 		| 1988	| Zigurat Softwa| MSX		| 					|
| superbon	|  	| Agent Super Bond (scobra hardware)			| 		| 1985	| Signaton USA	| Galaxian	| Bad Colours				|
| agentx1	|  	| Agent X (prototype, rev 1)				| cloak		| 1983	| Atari		| Miscellaneous	| 					|
| agentx2	|  	| Agent X (prototype, rev 2)				| cloak		| 1983	| Atari		| Miscellaneous	| 					|
| agentx3	|  	| Agent X (prototype, rev 3)				| cloak		| 1983	| Atari		| Miscellaneous	| 					|
| agentx4	|  	| Agent X (prototype, rev 4)				| cloak		| 1983	| Atari		| Miscellaneous	| 					|
| aodk		|  	| Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyok| 		| 1994	| ADK / SNK	| Neo Geo MVS	| 					|
| sms_agidooly	|  	| Agigongnyong Dooly (Kor)				| sms_dinodool	| 1991	| Daou Infosys	| Sega Master Sy| 					|
| agressb	|  	| Agress (English bootleg)				| agress	| 2003	| Palco		| Miscellaneous	| 					|
| agress	|  	| Agress						| 		| 1991	| Palco		| Miscellaneous	| 					|
| koshien	|  	| Ah Eikou no Koshien (Japan)				| 		| 1990	| Taito Corporat| Taito F2	| 					|
| airass	|  	| Air Assault (World)					| 		| 1993	| Irem		| Irem M107	| 					|
| airattck	|  	| Air Attack (set 1)					| 		| 1996	| Comad		| NMK16		| 					|
| airattcka	|  	| Air Attack (set 2)					| airattck	| 1996	| Comad		| NMK16		| 					|
| airbustrb	|  	| Air Buster: Trouble Specialty Raid Unit (bootleg)	| airbustr	| 1990	| bootleg	| Miscellaneous	| 					|
| airbustrj	|  	| Air Buster: Trouble Specialty Raid Unit (Japan)	| airbustr	| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| md_airbustr	|  	| Air Buster: Trouble Specialty Raid Unit (USA)		| 		| 1991	| Kaneko	| Sega Megadrive| 					|
| airbustr	|  	| Air Buster: Trouble Specialty Raid Unit (World)	| 		| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| md_airdiverj	|  	| Air Diver (Jpn)					| md_airdiver	| 1990	| Asmik Ace	| Sega Megadrive| 					|
| md_airdiver	|  	| Air Diver (USA)					| 		| 1990	| Seismic	| Sega Megadrive| 					|
| airduelm72	|  	| Air Duel (Japan, M72)					| airduel	| 1990	| Irem		| Irem M72	| 					|
| airduel	|  	| Air Duel (World, M82-A-A + M82-B-A)			| 		| 1990	| Irem		| Irem M82	| 					|
| agallet	|  	| Air Gallet (Europe)					| 		| 1996	| BanPresto / Ga| Cave		| 					|
| agalleth	|  	| Air Gallet (Hong Kong)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletk	|  	| Air Gallet (Korea)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalleta	|  	| Air Gallet (older, Europe)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletah	|  	| Air Gallet (older, Hong Kong)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletak	|  	| Air Gallet (older, Korea)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
